year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes
2020,IDAHO,ID,ADA,16001,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,120539,259389
2020,IDAHO,ID,ADA,16001,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,5310,259389
2020,IDAHO,ID,ADA,16001,US PRESIDENT,OTHER,OTHER,2841,259389
2020,IDAHO,ID,ADA,16001,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,130699,259389
2020,IDAHO,ID,ADAMS,16003,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,591,2586
2020,IDAHO,ID,ADAMS,16003,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,34,2586
2020,IDAHO,ID,ADAMS,16003,US PRESIDENT,OTHER,OTHER,20,2586
2020,IDAHO,ID,ADAMS,16003,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1941,2586
2020,IDAHO,ID,BANNOCK,16005,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,14682,39553
2020,IDAHO,ID,BANNOCK,16005,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,947,39553
2020,IDAHO,ID,BANNOCK,16005,US PRESIDENT,OTHER,OTHER,593,39553
2020,IDAHO,ID,BANNOCK,16005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,23331,39553
2020,IDAHO,ID,BEAR LAKE,16007,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,350,3315
2020,IDAHO,ID,BEAR LAKE,16007,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,25,3315
2020,IDAHO,ID,BEAR LAKE,16007,US PRESIDENT,OTHER,OTHER,26,3315
2020,IDAHO,ID,BEAR LAKE,16007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2914,3315
2020,IDAHO,ID,BENEWAH,16009,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,977,4973
2020,IDAHO,ID,BENEWAH,16009,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,58,4973
2020,IDAHO,ID,BENEWAH,16009,US PRESIDENT,OTHER,OTHER,60,4973
2020,IDAHO,ID,BENEWAH,16009,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3878,4973
2020,IDAHO,ID,BINGHAM,16011,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4124,19996
2020,IDAHO,ID,BINGHAM,16011,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,307,19996
2020,IDAHO,ID,BINGHAM,16011,US PRESIDENT,OTHER,OTHER,270,19996
2020,IDAHO,ID,BINGHAM,16011,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,15295,19996
2020,IDAHO,ID,BLAINE,16013,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,8919,13289
2020,IDAHO,ID,BLAINE,16013,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,168,13289
2020,IDAHO,ID,BLAINE,16013,US PRESIDENT,OTHER,OTHER,170,13289
2020,IDAHO,ID,BLAINE,16013,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4032,13289
2020,IDAHO,ID,BOISE,16015,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1204,4820
2020,IDAHO,ID,BOISE,16015,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,67,4820
2020,IDAHO,ID,BOISE,16015,US PRESIDENT,OTHER,OTHER,64,4820
